,DistrictName,Depot Name,google Maps Location,,,,,,,,google Maps Location,Latitude,Longitude
63,Gadag,Mundargi,"6V6M+4MV, Arabhavi - Challakere Rd, Laxmi chalapati Nagar, Mundargi, Karnataka 582118, India",,,,,,,,"6V6M+4MV, Arabhavi - Challakere Rd, Laxmi chalapati Nagar, Mundargi, Karnataka 582118, India",15.211069,75.8824346
64,Gadag,Gajendragad,"PXQG+6GW, Gajendragad, Karnataka 582114, India",,,,,,,,"PXQG+6GW, Gajendragad, Karnataka 582114, India",15.7381125,75.9763281
65,Gadag,Laxmeshwar,"4F98+GVG, Laxmeshwar, Karnataka 582116, India",,,,,,,,"4F98+GVG, Laxmeshwar, Karnataka 582116, India",15.1188125,75.4672031
66,Dharwad,Dharwad,"F234+6PQ, Railway Station Rd, UB Hills, Malmaddi, Dharwad, Karnataka 580001, India",,,,,,,,"F234+6PQ, Railway Station Rd, UB Hills, Malmaddi, Dharwad, Karnataka 580001, India",15.4522611,75.0069548
67,Dharwad,Navalgund,"H955+2CQ, hubli solalapur road, Navalgund, Karnataka 582208, India",,,,,,,,"H955+2CQ, hubli solalapur road, Navalgund, Karnataka 582208, India",15.3683758,75.1703694
68,Dharwad,Hubli,"Mini Vidana Soundha, Ballari - Hubballi Rd, New Hubli, Hubballi, Karnataka 580020, India",,,,,,,,"Mini Vidana Soundha, Ballari - Hubballi Rd, New Hubli, Hubballi, Karnataka 580020, India",15.3510081,75.1396707
69,Dharwad,Kalghatgi,"5XG9+XRH, Hubli - Karwar Rd, Kalaghatgi, Karnataka 581204, India",,,,,,,,"5XG9+XRH, Hubli - Karwar Rd, Kalaghatgi, Karnataka 581204, India",14.9496863,74.6942455
70,Dharwad,Kundgol,"765X+8HP, Kundgol, Karnataka 581113, India",,,,,,,,"765X+8HP, Kundgol, Karnataka 581113, India",15.2583375,75.2489531
71,Dharwad,Hubballi Nagara,"Mini Vidana Soundha, Ballari - Hubballi Rd, New Hubli, Hubballi, Karnataka 580020, India",,,,,,,,"Mini Vidana Soundha, Ballari - Hubballi Rd, New Hubli, Hubballi, Karnataka 580020, India",15.3510081,75.1396707
72,Dharwad,Alnavar,"CPGQ+GJW, Alnavar, Karnataka 581103, India",,,,,,,,"CPGQ+GJW, Alnavar, Karnataka 581103, India",15.4263625,74.7390781
73,Dharwad,Annigeri,"CCJM+5GV, Unnamed Road, Annigeri, Karnataka 582201, India",,,,,,,,"CCJM+5GV, Unnamed Road, Annigeri, Karnataka 582201, India",15.42452,75.44953
74,Uttara Kannada,Karwar,"R46H+XGW, Kodibag, Karwar, Karnataka 581301, India",,,,,,,,"R46H+XGW, Kodibag, Karwar, Karnataka 581301, India",14.8124875,74.1288281
75,Uttara Kannada,Joida,"5F9M+F2G, Joida, Karnataka 581186, India",,,,,,,,"5F9M+F2G, Joida, Karnataka 581186, India",15.1686875,74.4825781
76,Uttara Kannada,Haliyal,"8QJ8+2J5, Haliyal, Karnataka 581329, India",,,,,,,,"8QJ8+2J5, Haliyal, Karnataka 581329, India",15.3300125,74.7666094
77,Uttara Kannada,Yellapur,"XP65+GRX, Yellapur, Karnataka 581359, India",,,,,,,,"XP65+GRX, Yellapur, Karnataka 581359, India",14.9613625,74.7096094
78,Uttara Kannada,Mundgod,"X2FR+8FJ, TDB Road, Mundgod, Karnataka 581349, India",,,,,,,,"X2FR+8FJ, TDB Road, Mundgod, Karnataka 581349, India",14.9725,75.0381
79,Uttara Kannada,Sirsi,"JRCG+HH7, Sirsi, Karnataka 581401, India",,,,,,,,"JRCG+HH7, Sirsi, Karnataka 581401, India",14.6214125,74.8264219
80,Uttara Kannada,Ankola,"M854+W9M, Ankola, Karnataka 581314, India",,,,,,,,"M854+W9M, Ankola, Karnataka 581314, India",14.6598375,74.3059219
81,Uttara Kannada,Kumta,"CCF8+8C6, Kumta, Karnataka 581343, India",,,,,,,,"CCF8+8C6, Kumta, Karnataka 581343, India",14.4232875,74.4160156
82,Uttara Kannada,Siddapur,"8VWV+3FQ, Siddapur Main Rd, Halgeri, Siddapur, Karnataka 581355, India",,,,,,,,"8VWV+3FQ, Siddapur Main Rd, Halgeri, Siddapur, Karnataka 581355, India",14.3452125,74.8937344
83,Uttara Kannada,Honnavar,"7CJX+3HR, Honnavar, Karnataka 581334, India",,,,,,,,"7CJX+3HR, Honnavar, Karnataka 581334, India",14.2802375,74.4488906
84,Uttara Kannada,Bhatkal,"XHV2+982, Belalkanda, Bhatkal, Karnataka 581320, India",,,,,,,,"XHV2+982, Belalkanda, Bhatkal, Karnataka 581320, India",13.9933875,74.5507656
85,Haveri,Shiggaon,"X6MC+58Q, Shiggaon, Karnataka 581205, India",,,,,,,,"X6MC+58Q, Shiggaon, Karnataka 581205, India",14.9829625,75.2208594
86,Haveri,Savanur,"X9J3+XMP, SH 6, Savanur Rural, Karnataka 581118, India",,,,,,,,"X9J3+XMP, SH 6, Savanur Rural, Karnataka 581118, India",14.9755408,75.3324364
87,Haveri,Hangal,"Q4CF+9W3, Mini Vidhana Soudha,road, Hangal, Karnataka, India",,,,,,,,"Q4CF+9W3, Mini Vidhana Soudha,road, Hangal, Karnataka, India",16.2410359,74.6044193
88,Haveri,Haveri,"Q9QX+W4Q, PB Rd, Vidya Nagar, Haveri, Karnataka 581110, India",,,,,,,,"Q9QX+W4Q, PB Rd, Vidya Nagar, Haveri, Karnataka 581110, India",14.7949482,75.3954539
89,Haveri,Byadagi,"MFHV+PJF, kakol Road,, Byadagi, Karnataka, India",,,,,,,,"MFHV+PJF, kakol Road,, Byadagi, Karnataka, India",14.6793729,75.496545
90,Haveri,Hirekerur,"F94Q+PCG, Hirekerur, Karnataka 581111, India",,,,,,,,"F94Q+PCG, Hirekerur, Karnataka 581111, India",14.4568125,75.3885781
91,Haveri,Ranebennur,"JJCM+348, Station Rd, Vageesh Nagar, Ranebennur, Karnataka 581115, India",,,,,,,,"JJCM+348, Station Rd, Vageesh Nagar, Ranebennur, Karnataka 581115, India",14.6236519,75.6334827
92,Haveri,Rattihalli,"CGF6+6J5, Rattihalli, Karnataka 581116",,,,,,,,"CGF6+6J5, Rattihalli, Karnataka 581116",14.4230125,75.5116094
93,Bellari,"Siruguppa,","JVPV+G7J, Siruguppa, Karnataka 583121, India",,,,,,,,"JVPV+G7J, Siruguppa, Karnataka 583121, India",15.6363375,76.8931406
94,Bellari,Bellari,"4WV8+RWV, Fort Main Rd, Narayanappa Compound, Fort, Ballari, Karnataka 583104, India",,,,,,,,"4WV8+RWV, Fort Main Rd, Narayanappa Compound, Fort, Ballari, Karnataka 583104, India",15.1442566,76.9153835
95,Bellari,sandur,"3GQR+CRW, LB Colony, Sandur, Karnataka 583119",,,,,,,,"3GQR+CRW, LB Colony, Sandur, Karnataka 583119",15.0886125,76.5420781
96,Bellari,Kurugodu,"8RVM+GV8, Kurugodu, Karnataka 583116",,,,,,,,"8RVM+GV8, Kurugodu, Karnataka 583116",15.3437875,76.8347031
97,Bellari,Kampli,"CJ44+289, Maruthi Nagar, Kampli, Karnataka 583132, India",,,,,,,,"CJ44+289, Maruthi Nagar, Kampli, Karnataka 583132, India",15.4050375,76.6058594
98,Chitradurga,Chitradurga,"6CF3+Q9H, Maniyur, Chitradurga, Karnataka 577501, India",,,,,,,,"6CF3+Q9H, Maniyur, Chitradurga, Karnataka 577501, India",14.2244375,76.4034844
99,Davanagere,Harihar,"GR84+4G6, PB Rd, New Bharampuri, Gandhi Nagar, Harihar, Karnataka 577601, India",,,,,,,,"GR84+4G6, PB Rd, New Bharampuri, Gandhi Nagar, Harihar, Karnataka 577601, India",14.5113707,75.8179404
100,Davanagere,Jagalur,"G88M+XCC, Jagalur, Karnataka 577528, India",,,,,,,,"G88M+XCC, Jagalur, Karnataka 577528, India",14.5174375,76.3335156
101,Davanagere,Davanagere,"FW99+HFM, M B Kere, Jalinagar, Davanagere, Karnataka 577001, India",,,,,,,,"FW99+HFM, M B Kere, Jalinagar, Davanagere, Karnataka 577001, India",14.4689625,75.9186719
102,Davanagere,Honnali,"6JQX+MFC, Honnali, Karnataka 577217, India",,,,,,,,"6JQX+MFC, Honnali, Karnataka 577217, India",14.2391875,75.6486406
103,Davanagere,Channagiri,"2WFJ+F4Q, Channagiri, Karnataka 577213, India",,,,,,,,"2WFJ+F4Q, Channagiri, Karnataka 577213, India",14.0237125,75.9303594
104,Shivamogga,Sagara,"528F+823, Sagara, Karnataka 577401, India",,,,,,,,"528F+823, Sagara, Karnataka 577401, India",14.1657625,75.0225469
105,Shivamogga,Soraba,"93JX+8WF, Soraba, Karnataka 577429",,,,,,,,"93JX+8WF, Soraba, Karnataka 577429",14.3808125,75.0997969
106,Shivamogga,Shikaripura,"7985+P42, Shikaripura, Shikaripur, Karnataka 577427, India",,,,,,,,"7985+P42, Shikaripura, Shikaripur, Karnataka 577427, India",14.2667625,75.3577656
107,Shivamogga,Hosanagar,"W387+GR2, Hosanagar, Karnataka 577418, India",,,,,,,,"W387+GR2, Hosanagar, Karnataka 577418, India",13.9162625,75.0645156
108,Shivamogga,Thirthahalli,"M6RV+4Q3, Thirthahalli, Karnataka 577432, India",,,,,,,,"M6RV+4Q3, Thirthahalli, Karnataka 577432, India",13.6902625,75.2444219
109,Shivamogga,Shivamogga,"WHPG+VH4, SH 25, Basavanagudi, Shivamogga, Karnataka 577201, India",,,,,,,,"WHPG+VH4, SH 25, Basavanagudi, Shivamogga, Karnataka 577201, India",13.940141,75.5811627
110,Shivamogga,Bhadravathi,"VP23+JGF, Jai Bheem Nagar, Indira Nagar, Bhadravathi, Karnataka 577301, India",,,,,,,,"VP23+JGF, Jai Bheem Nagar, Indira Nagar, Bhadravathi, Karnataka 577301, India",13.8515625,75.7037969
111,Udupi,Kundapura,"JMPQ+MMP, Kundapura, Karnataka 576201, India",,,,,,,,"JMPQ+MMP, Kundapura, Karnataka 576201, India",13.6367125,74.6892031
112,Udupi,Udupi,"8PVQ+4JV, Circuit House Rd, Bananje, Udupi, Karnataka 576101, India",,,,,,,,"8PVQ+4JV, Circuit House Rd, Bananje, Udupi, Karnataka 576101, India",13.3412685,74.7390159
113,Udupi,Karkala,"6XGJ+9G7, Karkala, Karnataka 574104, India",,,,,,,,"6XGJ+9G7, Karkala, Karnataka 574104, India",13.2259125,74.9812969
114,Udupi,Kaup,"6PMW+XFP, Kamala Mathu, Uliyargoli, Kaup, Karnataka 574106, India",,,,,,,,"6PMW+XFP, Kamala Mathu, Uliyargoli, Kaup, Karnataka 574106, India",13.2349625,74.7462031
